Date,Open,High,Low,Close,Volume
11/12/2025,"63.85","64.85","63.85","64.40","90,562"
11/11/2025,"64.20","64.40","63.60","64.05","79,788"
11/10/2025,"63.25","64.55","63.05","64.40","68,964"
11/07/2025,"63.70","64.35","62.55","62.90","112,137"
11/06/2025,"64.70","65.00","63.45","63.95","72,244"
11/05/2025,"63.20","64.70","63.20","64.70","56,295"
11/04/2025,"64.30","64.30","63.30","63.85","52,793"
11/03/2025,"65.55","65.55","64.20","64.35","52,257"
10/31/2025,"66.00","66.00","64.65","65.60","93,129"
10/30/2025,"62.00","66.50","62.00","66.20","263,403"
10/29/2025,"63.10","63.10","62.00","62.00","71,888"
10/28/2025,"63.05","63.15","62.40","63.10","48,296"
10/27/2025,"63.35","63.65","62.05","62.95","64,477"
10/24/2025,"62.75","63.40","62.40","63.30","55,243"
10/23/2025,"60.90","63.10","60.90","62.75","62,096"
10/22/2025,"60.60","61.30","60.60","61.30","95,816"
10/21/2025,"61.80","61.90","60.40","61.25","66,252"
10/20/2025,"61.05","61.80","60.85","61.80","62,702"
10/17/2025,"61.45","61.45","60.50","61.05","58,695"
10/16/2025,"61.15","61.70","60.90","61.70","40,192"
10/15/2025,"61.45","61.95","60.90","60.90","76,624"
10/14/2025,"60.55","61.10","60.30","61.00","59,572"
10/13/2025,"60.65","61.15","60.15","61.15","37,172"
10/10/2025,"60.75","61.30","60.20","60.75","84,574"
10/09/2025,"59.50","61.10","59.35","60.80","70,952"
10/08/2025,"59.40","59.95","58.85","59.75","113,868"
10/07/2025,"61.85","61.85","59.00","59.00","143,425"
10/06/2025,"62.30","62.75","61.50","61.50","55,414"
10/03/2025,"61.15","62.30","61.15","62.30","54,111"
10/02/2025,"60.95","61.65","60.90","61.15","58,043"
10/01/2025,"59.70","61.00","59.70","60.90","47,106"
09/30/2025,"60.30","60.50","59.60","59.90","85,914"
09/29/2025,"60.00","60.35","59.35","60.35","86,435"
09/26/2025,"60.30","60.65","59.65","59.65","55,737"
09/25/2025,"60.30","60.45","59.85","60.25","42,469"
09/24/2025,"60.70","61.20","60.25","60.60","32,780"
09/23/2025,"60.30","61.50","60.30","60.80","36,969"
09/22/2025,"59.70","60.40","59.25","60.40","78,561"
09/19/2025,"60.50","61.05","59.65","59.95","236,227"
09/18/2025,"59.50","60.45","59.50","60.40","59,498"
09/17/2025,"60.35","60.65","59.50","59.50","94,322"
09/16/2025,"60.70","61.10","60.20","60.45","96,142"
09/15/2025,"61.50","61.60","60.40","60.50","40,125"
09/12/2025,"60.95","61.35","60.50","61.35","48,231"
09/11/2025,"61.10","61.50","60.35","61.20","59,622"
09/10/2025,"61.90","62.20","60.80","60.80","76,020"
09/09/2025,"61.90","62.15","60.95","61.70","52,269"
09/08/2025,"61.30","61.90","60.90","61.85","34,619"
09/05/2025,"59.70","61.10","59.70","60.75","41,625"
09/04/2025,"59.30","60.25","59.30","59.45","59,448"
09/03/2025,"59.40","60.30","59.25","59.45","50,064"
09/02/2025,"61.20","61.20","59.05","59.05","58,255"
09/01/2025,"60.35","60.90","60.35","60.65","50,497"
